epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,23665.7,0.3773,0.28663,0.9975,0.95015,0.92452,0.97489,0.93514,0.30728,0.27027,0.90007,0.00505,0.00505,0.00505
127,23853.2,0.37559,0.27969,0.99497,0.95121,0.92394,0.97513,0.93532,0.30678,0.27016,0.89942,0.0049878,0.0049878,0.0049878
128,24040.6,0.37563,0.28047,0.99514,0.9456,0.92876,0.97536,0.93589,0.30665,0.27081,0.8992,0.00492561,0.00492561,0.00492561
129,24228.2,0.37078,0.27637,0.9902,0.94464,0.92925,0.97565,0.93636,0.30623,0.27073,0.89891,0.00486343,0.00486343,0.00486343
130,24415.8,0.36862,0.27313,0.99038,0.94211,0.92984,0.97574,0.93636,0.30604,0.2713,0.89889,0.00480129,0.00480129,0.00480129
131,24603.4,0.36696,0.26987,0.98732,0.9445,0.93006,0.97577,0.9368,0.30601,0.26937,0.89874,0.00473919,0.00473919,0.00473919
132,24790.9,0.36713,0.27001,0.98894,0.94185,0.93043,0.97535,0.93612,0.30585,0.26942,0.89885,0.00467713,0.00467713,0.00467713
133,24978.4,0.36824,0.27264,0.98885,0.94191,0.93069,0.97548,0.93639,0.30588,0.26913,0.89871,0.00461514,0.00461514,0.00461514
134,25165.9,0.36525,0.26658,0.98757,0.94284,0.92971,0.97535,0.93611,0.3059,0.26936,0.89843,0.00455321,0.00455321,0.00455321
135,25353.4,0.36005,0.26384,0.98396,0.94322,0.9308,0.97572,0.93664,0.30579,0.26913,0.89846,0.00449136,0.00449136,0.00449136
136,25540.9,0.36077,0.26587,0.98341,0.94359,0.93107,0.97616,0.93718,0.30551,0.2691,0.89826,0.0044296,0.0044296,0.0044296
137,25728.5,0.36246,0.26746,0.98655,0.94374,0.93159,0.97624,0.93737,0.30552,0.26979,0.89854,0.00436794,0.00436794,0.00436794
138,25916,0.35883,0.26327,0.98478,0.94468,0.93132,0.97612,0.93697,0.30555,0.27013,0.89863,0.00430638,0.00430638,0.00430638
139,26103.4,0.35489,0.25958,0.97822,0.94512,0.93158,0.97631,0.93663,0.30569,0.27023,0.89877,0.00424495,0.00424495,0.00424495
140,26290.8,0.35366,0.26056,0.97849,0.94801,0.93512,0.97667,0.937,0.30538,0.2702,0.89865,0.00418364,0.00418364,0.00418364
141,26478.3,0.35403,0.25494,0.98048,0.9484,0.93499,0.97655,0.93678,0.3053,0.2706,0.89881,0.00412246,0.00412246,0.00412246
142,26665.7,0.35011,0.25655,0.97924,0.94836,0.93518,0.97675,0.93713,0.3052,0.27029,0.89891,0.00406144,0.00406144,0.00406144
143,26853.1,0.34709,0.25124,0.97737,0.94205,0.9329,0.97638,0.93688,0.3049,0.27111,0.89866,0.00400056,0.00400056,0.00400056
